,gt_len,model_len,obstacle_hit
97672aad-0bbc-4d43-81d0-6717ac2f2221.pt,83.0,,
3ed59a1f-2c5d-49bb-b8bf-39901eb5f2ae.pt,76.0,,
f6a86246-4e19-4cdb-8acd-8c9cece1ac78.pt,106.0,,
cca14798-6555-4d7f-8583-f3897cb7a292.pt,86.0,,
ba58b03b-77ac-4c1b-b45d-d37b0e66fa7a.pt,119.0,244.0,99.0
0e4ba85d-61d2-49b4-81d7-e4810d2b8f19.pt,63.0,,
99c354d2-892f-4247-a869-aa002cc8fe99.pt,115.0,,
b390fd2e-605d-4c7b-8709-b154d941da92.pt,66.0,,
1dd08c2b-112f-4f23-8e33-6901baed8af8.pt,91.0,,
cdea7ef9-a2a8-45f8-8023-f1418caf7f70.pt,101.0,,
5b025fe7-cfb4-45ab-a601-ca307a35ab36.pt,104.0,305.0,87.0
a73d4e5d-7cb6-4023-a161-1d228291230a.pt,78.0,,
904ee75f-3e72-49ce-a9b3-9790a104b402.pt,70.0,,
dc559263-51c4-44de-b0f8-b53fbb1d704e.pt,105.0,,
24bca7bd-7925-4ae6-91e7-2450adb0537b.pt,117.0,,
df9bba75-ef66-48c6-9534-7b03efe9f48d.pt,93.0,319.0,32.0
c4e090e2-0aac-4d39-aed2-7db335e027cd.pt,85.0,,
2ddc727b-c663-4a46-994f-006d26fcfe7c.pt,63.0,,
79fc8c94-102d-494e-bfa8-d540f0137c48.pt,118.0,,
532e8600-afcc-4753-a4c8-b9c743ab0040.pt,60.0,643.0,77.0
b77c0f54-3330-4e5a-a7c4-e9065bc70579.pt,55.0,,
521fd98e-abf6-4dea-9390-9ac35cb7f972.pt,70.0,,
f086206d-1469-4c83-91fb-2e6f661ee27f.pt,92.0,,
063a49ac-cb9c-41f8-a83a-173f6836700a.pt,123.0,,
d10f4730-f67a-4396-973f-35750afe86fe.pt,118.0,,
25e23258-3d24-4674-8317-836025289065.pt,101.0,230.0,33.0
b3ccc118-6546-4fb9-999c-f2cc6452b514.pt,105.0,,
74c741be-f125-4661-9053-7ea27dc15235.pt,115.0,,
27067ea0-cc4a-4faf-ade8-4b62e8278601.pt,72.0,93.0,26.0
59fef09c-380a-4b14-bf8e-705a6f381360.pt,82.0,,
d3286bc1-8f7b-4c83-b692-fd16eb84b8ee.pt,47.0,,
422dbfd1-e720-44b3-a987-932459f4a3bc.pt,67.0,634.0,121.0
b492b9cd-6439-443b-9f0f-d5a4a87c2a00.pt,113.0,,
089e9809-d29f-42c5-a7fa-a279d663db03.pt,52.0,175.0,82.0
f3137d68-f680-436f-bc07-1a2a4b46be2f.pt,89.0,,
0bb9e56c-c00f-4bf7-8e4e-8e6a48ffb718.pt,129.0,218.0,113.0
c68cf452-afa3-4bfa-aeaf-f294ca0726ad.pt,86.0,310.0,82.0
89a1d38b-955b-4339-9157-80bf35abd8b6.pt,42.0,,
